Site.Code,Round,Name,SiteRound,Date,Year,Month,Day,Time.Start,Time.Stop,Survey.Time,Observers,Pond.Type,Lat,Long,Easting,Northing,Property.Owner,HUC10.Name,HUC12.Name,Nearest,Area,Elevevation,Pond.Made,Source,Developed200m,Forest200m,Wetlands200m,Lawn200m,HerbScrub200m,Water200m,Developed500m,Forest500m,Wetlands500m,Lawn500m,HerbScrub500m,Water500m,Barren.Land.1000m,Cultivated.Crops.1000m,Deciduous.Forest.1000m,Developed.High.Intensity.1000m,Developed.Low.Intensity.1000m,Developed.Medium.Intensity.1000m,Developed.Open.Space.1000m,Emergent.Herbaceuous.Wetlands.1000m,Evergreen.Forest.1000m,Hay.Pasture.1000m,Herbaceuous.1000m,Mixed.Forest.1000m,Open.Water.1000m,Shrub.Scrub.1000m,Woody.Wetlands.1000m,Developed1000m,Forest1000m,Wetlands1000m,Lawn1000m,HerbScrub1000m,Water1000m,Air.Temp,Wind,Humidity,Clouds,In.OutFlow,Canopy.Cover,Water.Temp,Conductivity,Sp.Condunctivity,DO.p,DO.mg,Salinity,Chloride,Turbidity,pH,av.DO,av.DOp,av.SpC,av.pH,av.Sal,av.Turb,av.temp,av.Chlor,Nitrate,People,Perc.Open.Water,Perc.Emergent,Perc.Total.Floating,Perc.Substrate,Perc.Submergent,Substrate,Surface.Heterogeneity ,Sub.Heterogeneity ,Sub.Score,Woody.Debris,Hab.Complexity,av.HC,Notes.2020,Notes.2019,Total.Rich.Native,Plant.Rich,Invert.Rich,Fish.Rich,Vert.Rich,Animal.Rich,Inv.Fish.Rich,Total.Rich,Inv.Fish.P,Herp.Rich,Amphib.Rich,L.clamitans,L.catesbeiana,A.americanus,L.pipiens,H.versicolor,L.palustris,P.maculata,P.crucifer,N.viridescens,Lithobates.spp,Turtles,C.picta,C.serpentina,E.blandingii,Turtle.Rich,Snakes,Fish,C.inconstans,U.limi,P.promelas,N.cornutus,Sm.Unidentified,Lg.Unidentified,L.gibbosus,L.macrochirus,A.melas,C.auratus,Lepomis.spp,L.cyanellus,M.salmoides,C.carpio,Amphipoda.Hyalellidae,Arachnida.Pisauridae,Bivalvia.Sphaeriidae,Bivalvia.Unionidae,Cladocera.spp,Coleoptera.Curculionoidea,Coleoptera.Dytiscidae,Coleoptera.Gyrinidae,Coleoptera.Haliplidae,Coleoptera.Hydrophilidae,Coleoptera.Lampyridae,Coleoptera.Scirtidae,Coleoptera.spp,Collembola.spp,Copepoda.spp,Decapoda.Cambaridae,Diptera.Ceratopogonidae,Diptera.Chaoboridae,Diptera.Chironomidae,Diptera.Culicidae,Diptera.Dixidae,Diptera.Dolichopodidae,Diptera.Ephydridae,Diptera.Psychodidae,Diptera.Sciomyzidae,Diptera.Stratiomyidae,Diptera.Tabanidae,Diptera.Tanyderidae,Diptera.Tipulidae,Diptera.spp,Ephemeroptera.Baetidae,Ephemeroptera.Caenidae,Ephemeroptera.Siphlonuridae,Gastropoda.Ancylidae,Gastropoda.Lymnaeidae,Gastropoda.Physidae,Gastropoda.Planorbidae,Gastropoda.Viviparidae,Hemiptera.Belostomatidae,Hemiptera.Corixidae,Hemiptera.Gerridae,Hemiptera.Mesoveliidae,Hemiptera.Nepidae,Hemiptera.Notonectidae,Hemiptera.Pleidae,Hemiptera.Saldidae,Hemiptera.spp,Hemiptera.Veliidae,Hirudinea.spp,Hydrachnidiae.spp,Isopoda.Asellidae,Lepidoptera.Pyralidae,Odonata.Aeshnidae,Odonata.Coenagrionidae,Odonata.Lestidae,Odonata.Libellulidae,Odonata.spp,Ostracod.spp,Plecoptera.Perlodidae,Trichoptera.Hydroptilidae,Trichoptera.Leptoceridae,Inverts.SEINE,Seine.Distance,Notes.Sweep.Seine,Potamogeton.nodosus,Phalaras.arundinacea,Eleocharis.spp,Ceratophyllum.demersum,Myriophyllum.spicatum,Polygonum.pensylvanicum,Aster.spp,Iris.versicolor,Potamogeton.foliosus,Typha.spp,Sparganium.spp,Scirpus.validus,Carex.spp,Lemna.minor,Sagittaria.latifolia,Elodia.canadensis,Wolffia.columbiana,Stuckenia.pectinata,Sagittaria.cuneata,Alisma.spp,Scirpus.spp,Scirpus.cyperinus,Riccia.fluitans,Potamogeton.spp,Salix.spp,Juncus.effiusus,Lemna.trisula,Drepanocladus.spp,Chara.contraria,Polygonum.amphibium,Ranunculus.sceleratus,Typha.angustifolia,Chara.globularis,Potamogeton.crispus,Phragmites.australis,Utricularia.macrorhiza,Typha.latifolia,Cicuta.bulbifera,Eleocharis.acicularis,Scirpus.fluviatilis,Scirpus.actutus,Spirodela.polyrhiza,Ludwigia.palustris,Vallisneria.americana,Acorus.calamus,Sparganium.eurycarpum,Eleocharis.palustris,Ranunculus.aquatilis,Poa.spp,Chara.spp,Chara.braunii,Myriophyllum.spp,Najas.flexilis,Nuphar.variegata,Pontederia.cordata,Nitella.flexilis,Elodia.nuttalli,Nymphaea.odorata,Potamogeton.zosteriformis,Scirpus.americanus,Lythrum.salicaria,Lycopus.americanus,Nasturtium.officinale,Impatiens.capensis,Sparganium.angustifolium,Ranunculus.flabellaris,Stuckenia.filiformis,Callitriche.palustris,Zannichellia.palustris
CG,3,Cottage Grove,CG_3,5/21/2020,2020,5,21,10:43:00,11:57:00,1:14,DCT,Rural,43.08741385,-89.2532419,316599.3004,4772986.17,CITY OF MADISON PARKS DOOR CREEK PARK,Lake Kegonsa-Yahara River,Door Creek,223.29,875,NA,2000,Natural,0.128571429,0.05,0.207142857,0.078571429,0.535714286,0,0.196100917,0.05733945,0.139908257,0.038990826,0.565366972,0.002293578,0.000286,0.367411226,0.075887743,0.000286,0.103379152,0.076174112,0.046678121,0.084765178,0,0.170389462,0.002863688,0.038659794,0.007731959,0.00257732,0.022909507,0.179839633,0.114547537,0.107674685,0.046678121,0.543241695,0.007731959,15,10,73,100,0,3,18.7,70.3,79.9,123.6,11.23,0.04,216.22,228.1,7.85,7.28,85.55,82.15,7.76,0.04,158.53,22.68,73.59,NA,0,95,4,1,30,70,"Mud,Leaf Litter,NA",1,3,2,1,1.75,2,"Near stream, connects to flooded cattail marsh, water high. Water was much more green on second visit to re-take TRB.",NA,47,14,26,0,7,33,0,47,0,7,6,0,0,1,0,0,0,1,0,0,NA,NA,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CG,4,Cottage Grove,CG_4,7/22/2020,2020,7,22,9:35:00,10:22:00,0:47,DCT,Rural,43.08741385,-89.2532419,316599.3004,4772986.17,CITY OF MADISON PARKS DOOR CREEK PARK,Lake Kegonsa-Yahara River,Door Creek,223.29,875,NA,2000,Natural,0.128571429,0.05,0.207142857,0.078571429,0.535714286,0,0.196100917,0.05733945,0.139908257,0.038990826,0.565366972,0.002293578,0.000286,0.367411226,0.075887743,0.000286,0.103379152,0.076174112,0.046678121,0.084765178,0,0.170389462,0.002863688,0.038659794,0.007731959,0.00257732,0.022909507,0.179839633,0.114547537,0.107674685,0.046678121,0.543241695,0.007731959,23,7,76,30,0,5,25,71.6,71.6,66.9,5.36,0.03,14.5,178.3,7.66,7.28,85.55,82.15,7.76,0.04,158.53,22.68,73.59,NA,0,75,8,17,10,90,"Firm Soil,Mud,NA",3,2,2,2,2.25,2,"Clear water, lots of Nepidae. Active construction nearby.",NA,47,14,26,0,7,33,0,47,0,7,6,1,1,0,0,1,0,0,0,0,NA,"Painted,,,,NA",1,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CG,1,Cottage Grove,CG_1,6/25/2019,2019,6,25,12:15:00,12:55:00,0:40,"ES,CL,EP",Rural,43.08741385,-89.2532419,316599.3004,4772986.17,CITY OF MADISON PARKS DOOR CREEK PARK,Lake Kegonsa-Yahara River,Door Creek,223.29,875,274,2000,Natural,0.128571429,0.05,0.207142857,0.078571429,0.535714286,0,0.196100917,0.05733945,0.139908257,0.038990826,0.565366972,0.002293578,0.000286,0.367411226,0.075887743,0.000286,0.103379152,0.076174112,0.046678121,0.084765178,0,0.170389462,0.002863688,0.038659794,0.007731959,0.00257732,0.022909507,0.179839633,0.114547537,0.107674685,0.046678121,0.543241695,0.007731959,26,8,57,95,NA,12,22.4,80.6,84.8,97.7,8.18,0.04,2.45,117,NA,7.28,85.55,82.15,7.76,0.04,158.53,22.68,73.59,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No area/perimeter calculated, no inflows/outflows visible, no shoreline vegetation percentage recorded,",47,14,26,0,7,33,0,47,0,7,6,1,1,1,0,0,0,0,0,0,0,NA,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,"""Stick bug"", snails, backswimmers, damselfly larvae",9,A lot of inverts in sweeps - boatment and leeches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG,2,Cottage Grove,CG_2,8/6/2019,2019,8,6,11:53:00,12:11:00,0:18,"ES,EP,CL",Rural,43.08741385,-89.2532419,316599.3004,4772986.17,CITY OF MADISON PARKS DOOR CREEK PARK,Lake Kegonsa-Yahara River,Door Creek,223.29,875,272,2000,Natural,0.128571429,0.05,0.207142857,0.078571429,0.535714286,0,0.196100917,0.05733945,0.139908257,0.038990826,0.565366972,0.002293578,0.000286,0.367411226,0.075887743,0.000286,0.103379152,0.076174112,0.046678121,0.084765178,0,0.170389462,0.002863688,0.038659794,0.007731959,0.00257732,0.022909507,0.179839633,0.114547537,0.107674685,0.046678121,0.543241695,0.007731959,25,8,66,2,NA,16,24.6,91.6,92.3,54,4.34,0.04,2.1,110.7,NA,7.28,85.55,82.15,7.76,0.04,158.53,22.68,73.59,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,14,26,0,7,33,0,47,0,7,6,1,0,0,1,1,0,0,0,0,1,NA,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"Very thick parrot's feather, difficult to sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COY-ARB,3,Coyote Pond,COY-ARB_3,5/16/2020,2020,5,16,10:36:00,11:25:00,0:49,DCT,Green Space,43.03737412,-89.42897822,302133.8724,4767828.429,UNIV OF WIS REGENTS,Lake Monona-Yahara River,Lake Monona-Yahara River,306.84,1104,NA,1957,Stormwater,0,0.224637681,0.253623188,0.007246377,0.507246377,0,0.317241379,0.132183908,0.245977011,0.072413793,0.226436782,0.003448276,0.000573,0.040687679,0.130945559,0.074212034,0.166475645,0.101719198,0.187965616,0.037249284,0.028366762,0.05530086,0,0.059598854,0.00086,0,0.116045845,0.342406877,0.218911175,0.153295129,0.187965616,0.095988539,0.00086,16,9,66,NA,2,2,11.7,859,1154,25,2.43,0.58,470.82,154.6,7.24,5.16,54.93,1393,7.34,0.7,154.7,17.39,399.77,NA,0,15,15,70,30,70,"Super Muddy,Vegetation,",2,4,1,1,2,1.75,"28 painted turtles,",NA,39,14,20,1,5,25,0,39,0,4,3,1,0,1,0,0,0,0,0,0,NA,"Painted,,,,",1,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COY-ARB,4,Coyote Pond,COY-ARB_4,7/7/2020,2020,7,7,6:47:00,7:51:00,1:04,DCT,Green Space,43.03737412,-89.42897822,302133.8724,4767828.429,UNIV OF WIS REGENTS,Lake Monona-Yahara River,Lake Monona-Yahara River,306.84,1104,NA,1957,Stormwater,0,0.224637681,0.253623188,0.007246377,0.507246377,0,0.317241379,0.132183908,0.245977011,0.072413793,0.226436782,0.003448276,0.000573,0.040687679,0.130945559,0.074212034,0.166475645,0.101719198,0.187965616,0.037249284,0.028366762,0.05530086,0,0.059598854,0.00086,0,0.116045845,0.342406877,0.218911175,0.153295129,0.187965616,0.095988539,0.00086,24,1,81,2,2,2,21.6,1391,1487,2.8,0.24,0.75,370.4,189.2,7.43,5.16,54.93,1393,7.34,0.7,154.7,17.39,399.77,NA,0,25,25,50,10,90,"Super Muddy,,NA",3,2,1,0,1.5,1.75,"Water level ~ 5cm lower. Hard to determine submergent due to algae, but coontail based on sweeps- whole water column is submergent- covered in algae. Gross film over water.",NA,39,14,20,1,5,25,0,39,0,4,3,1,0,0,0,1,0,0,0,0,NA,"Painted,,,,NA",1,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COY-ARB,1,Coyote Pond,COY-ARB_1,5/28/2019,2019,5,28,12:03:00,13:25:00,1:22,"DP,ES,EC,EP",Green Space,43.03737412,-89.42897822,302133.8724,4767828.429,UNIV OF WIS REGENTS,Lake Monona-Yahara River,Lake Monona-Yahara River,306.84,1104,NA,1957,Stormwater,0,0.224637681,0.253623188,0.007246377,0.507246377,0,0.317241379,0.132183908,0.245977011,0.072413793,0.226436782,0.003448276,0.000573,0.040687679,0.130945559,0.074212034,0.166475645,0.101719198,0.187965616,0.037249284,0.028366762,0.05530086,0,0.059598854,0.00086,0,0.116045845,0.342406877,0.218911175,0.153295129,0.187965616,0.095988539,0.00086,15,5.5,73,85,NA,12,15.3,933,1146,140.2,13.53,0.57,291.37,143.6,NA,5.16,54.93,1393,7.34,0.7,154.7,17.39,399.77,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zoop tows dragged due to algae, no substrate recorded, no perimeter recorded, elevation incorrect,",39,14,20,1,5,25,0,39,0,4,3,1,0,1,0,0,0,0,0,0,1,NA,0,0,0,1,NA,Stickleback,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COY-ARB,2,Coyote Pond,COY-ARB_2,7/17/2019,2019,7,17,8:16:00,8:31:00,0:15,"EC,CL,EP",Green Space,43.03737412,-89.42897822,302133.8724,4767828.429,UNIV OF WIS REGENTS,Lake Monona-Yahara River,Lake Monona-Yahara River,306.84,1104,219,1957,Stormwater,0,0.224637681,0.253623188,0.007246377,0.507246377,0,0.317241379,0.132183908,0.245977011,0.072413793,0.226436782,0.003448276,0.000573,0.040687679,0.130945559,0.074212034,0.166475645,0.101719198,0.187965616,0.037249284,0.028366762,0.05530086,0,0.059598854,0.00086,0,0.116045845,0.342406877,0.218911175,0.153295129,0.187965616,0.095988539,0.00086,24,3,80,5,NA,8,21,1650,1785,51.7,4.44,0.91,437.12,131.4,NA,5.16,54.93,1393,7.34,0.7,154.7,17.39,399.77,3.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,14,20,1,5,25,0,39,0,4,3,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Odonata,backswimmers",5,inverts only did >12 sweeps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSP-SW,3,Daniels St. Pond,DSP-SW_3,5/21/2020,2020,5,21,16:50:00,17:40:00,0:50,DCT,Urban,43.0579077,-89.30068687,312647.5099,4769814.234,CITY OF MADISON ENGINEER STORMWATER UTILITY 533,Lake Monona-Yahara River,Lake Monona-Yahara River,413.84,7751,NA,1995,Stormwater,0.542857143,0.007142857,0.114285714,0.128571429,0.171428571,0.035714286,0.836197022,0.01489118,0.026345934,0.075601375,0.041237113,0.005727377,0,0.026044648,0.024041214,0.208357184,0.245850029,0.320549513,0.083571837,0.023468804,0,0.041499714,0.000859,0.008586148,0.006296508,0,0.010875787,0.774756726,0.032627361,0.034344591,0.083571837,0.068402977,0.006296508,19,9,61,100,1,8,19.7,401.2,446.3,113.8,10.12,0.22,155.19,88.64,8.3,7.69,93.05,537.55,8.51,0.26,124.74,23.95,137.53,NA,0,98,1,1,50,50,"Rock ,Sand,NA",1,5,2,3,2.75,2.75,"Rocky over sand substrate with lots of sticks, clearwater. Industrial all around but large greenspace with nearby wetlands.",NA,26,13,7,2,6,13,0,26,0,4,2,0,1,0,0,0,0,0,0,0,NA,"Snapping,,,,NA",0,1,0,2,NA,"Sunfish, smaller fish,,,,NA",0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP-SW,4,Daniels St. Pond,DSP-SW_4,8/11/2020,2020,8,11,10:20:00,11:41:00,1:21,DCT,Urban,43.0579077,-89.30068687,312647.5099,4769814.234,CITY OF MADISON ENGINEER STORMWATER UTILITY 533,Lake Monona-Yahara River,Lake Monona-Yahara River,413.84,7751,NA,1995,Stormwater,0.542857143,0.007142857,0.114285714,0.128571429,0.171428571,0.035714286,0.836197022,0.01489118,0.026345934,0.075601375,0.041237113,0.005727377,0,0.026044648,0.024041214,0.208357184,0.245850029,0.320549513,0.083571837,0.023468804,0,0.041499714,0.000859,0.008586148,0.006296508,0,0.010875787,0.774756726,0.032627361,0.034344591,0.083571837,0.068402977,0.006296508,22,2,60,0,1,8,24.8,320.3,321.5,88.7,7.15,0.15,5.65,263.6,8.72,7.69,93.05,537.55,8.51,0.26,124.74,23.95,137.53,NA,2,88,10,2,60,40,"Firm Soil,Rock ,NA",2,4,2,3,2.75,2.75,"Water pea soup green around edges, clear in other parts. Hard to gauge submergent, lots of willows growing out of water's edge, but otherwise very little emergent. Locals say Pike and carp in pond.",NA,26,13,7,2,6,13,0,26,0,4,2,1,1,0,0,0,0,0,0,0,NA,"Painted,,,,NA",1,0,0,2,NA,"Sunfish, Large fish jumping, bluegill, according to locasl: Pike, Carp, Bass,,,,NA",0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP-SW,1,Daniels St. Pond,DSP-SW_1,6/7/2019,2019,6,7,12:09:00,12:55:00,0:46,"CL,ER,EC,ES,RH",Urban,43.0579077,-89.30068687,312647.5099,4769814.234,CITY OF MADISON ENGINEER STORMWATER UTILITY 533,Lake Monona-Yahara River,Lake Monona-Yahara River,413.84,7751,854,1995,Stormwater,0.542857143,0.007142857,0.114285714,0.128571429,0.171428571,0.035714286,0.836197022,0.01489118,0.026345934,0.075601375,0.041237113,0.005727377,0,0.026044648,0.024041214,0.208357184,0.245850029,0.320549513,0.083571837,0.023468804,0,0.041499714,0.000859,0.008586148,0.006296508,0,0.010875787,0.774756726,0.032627361,0.034344591,0.083571837,0.068402977,0.006296508,26,8,48,0,NA,12,25,1076,1076,102.9,8.24,0.53,208.44,49.4,NA,7.69,93.05,537.55,8.51,0.26,124.74,23.95,137.53,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*snapping turtle was a dead skeleton,26,13,7,2,6,13,0,26,0,4,2,1,1,0,0,0,0,0,0,0,0,Snapping,0,1,0,2,NA,"bluegill, largemouth bass,pumpkin seed, sunfish, large fish",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,NA,10,*didn't catch anything but lots of bluegill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
